year	category	procedure	county	hospital	address	discharge_count	median_length_in_days	median_charge_per_stay
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Los Angeles	PROVIDENCE LITTLE COMPANY OF MARY MC - TORRANCE	4101 TORRANCE BOULEVARD, TORRANCE, 90503	21	3.0	41318
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Los Angeles	PROVIDENCE SAINT JOSEPH MEDICAL CENTER	501 SO. BUENA VISTA, BURBANK, 91505-4866	23	6.0	86385
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Los Angeles	PROVIDENCE TARZANA MEDICAL CENTER	18321 CLARK STREET, TARZANA, 91356	3	3.0	51937
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Los Angeles	RONALD REAGAN UCLA MEDICAL CENTER	757 WESTWOOD PLAZA, LOS ANGELES, 90095	201	2.0	23842
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Los Angeles	SAN DIMAS COMMUNITY HOSPITAL	1350 WEST COVINA BOULEVARD, SAN DIMAS, 91773	5	5.0	89276
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Los Angeles	SAN GABRIEL VALLEY MEDICAL CENTER	438 W. LAS TUNAS DRIVE, SAN GABRIEL, 91776	1	2.0	75152
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Los Angeles	SANTA MONICA - UCLA MEDICAL CENTER & ORTHOPAEDIC HOSPITAL	1250 16TH STREET, SANTA MONICA, 90404	1	9.0	107205
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Los Angeles	SHRINERS HOSPITAL FOR  CHILDREN - L.A.	3160 GENEVA STREET, LOS ANGELES, 90020-1199	1	24.0	0
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Los Angeles	ST. FRANCIS MEDICAL CENTER	3630 IMPERIAL HIGHWAY, LYNWOOD, 90262	12	5.5	43026
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Los Angeles	ST. JOHN'S HEALTH CENTER	2121 Santa Monica Blvd, SANTA MONICA, 90404	3	6.0	118731
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Los Angeles	ST. MARY MEDICAL CENTER	1050 LINDEN AVENUE, BOX 887, LONG BEACH, 90801	9	5.0	42176
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Los Angeles	ST. VINCENT MEDICAL CENTER	2131 WEST 3RD STREET, LOS ANGELES, 90057	78	3.0	45954
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Los Angeles	TEMPLE COMMUNITY HOSPITAL	235 NORTH HOOVER STREET, LOS ANGELES, 90004	1	7.0	41218
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Los Angeles	TORRANCE MEMORIAL MEDICAL CENTER	3330 WEST LOMITA BOULEVARD, TORRANCE, 90505-5073	32	3.0	36526
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Los Angeles	TRI-CITY REGIONAL MEDICAL CENTER	21530 SOUTH PIONEER BOULEVARD, HAWAIIAN GARDENS, 90716	1	5.0	48566
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Los Angeles	USC KENNETH NORRIS, JR. CANCER HOSPITAL	1441 EASTLAKE AVENUE, LOS ANGELES, 90033	49	5.0	63655
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Los Angeles	USC UNIVERSITY HOSPITAL	1500 SAN PABLO STREET, LOS ANGELES, 90033	23	4.0	92383
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Los Angeles	VALLEY PRESBYTERIAN HOSPITAL	15107 VAN OWEN STREET, VAN NUYS, 91405	2	2.0	33775
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Los Angeles	VERDUGO HILLS HOSPITAL	1812 VERDUGO BOULEVARD, GLENDALE, 91208	6	4.0	35034
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Los Angeles	WEST HILLS HOSPITAL AND MEDICAL CENTER	7300 MEDICAL CENTER DRIVE, CANOGA PARK, 91307	4	3.5	70919
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Los Angeles	WHITE MEMORIAL MEDICAL CENTER	1720 CESAR E. CHAVEZ AVENUE, LOS ANGELES, 90033	7	5.0	45216
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Madera	CHILDREN'S HOSPITAL CENTRAL CALIFORNIA	9300 VALLEY CHILDREN'S PLACE, MADERA, 93638	4	4.0	29436
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Madera	MADERA COMMUNITY HOSPITAL	1250 EAST ALMOND AVENUE, MADERA, 93637	1	18.0	140656
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Marin	KAISER FND HOSP - SAN RAFAEL	99 MONTECILLO ROAD, SAN RAFAEL, 94903	10	4.0	0
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Marin	MARIN GENERAL HOSPITAL	250 BON AIR ROAD, GREENBRAE, 94904	6	5.0	78514
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Marin	NOVATO COMMUNITY HOSPITAL	180 ROLAND WAY, NOVATO, 94945	2	8.5	139350
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Merced	MERCY MEDICAL CENTER - MERCED	333  MERCY AVENUE, MERCED, 95340	3	3.0	45985
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Mono	MAMMOTH HOSPITAL	85 SIERRA PARK ROAD, MAMMOTH LAKES, 93546	1	2.0	58403
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Monterey	COMMUNITY HOSPITAL MONTEREY PENINSULA	23625 W. R. HOLMAN HIGHWAY, MONTEREY, 93940	13	5.0	52321
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Monterey	SALINAS VALLEY MEMORIAL HOSPITAL	450 EAST ROMIE LANE, SALINAS, 93901	6	4.5	50802
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Napa	QUEEN OF THE VALLEY HOSPITAL - NAPA	1000 TRANCAS STREET, NAPA, 94558	12	4.0	83694
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Napa	ST. HELENA HOSPITAL	10 WOODLAND RD., ST. HELENA, 94574	3	4.0	120255
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Nevada	SIERRA NEVADA MEMORIAL HOSPITAL	155 GLASSON WAY, GRASS VALLEY, 95945	13	4.0	41860
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Nevada	TAHOE FOREST HOSPITAL	10121 PINE STREET POB 759, TRUCKEE, 96160	2	7.0	59282
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Orange	AHMC ANAHEIM REGIONAL MEDICAL CENTER	1111 WEST LA PALMA AVENUE, ANAHEIM, 92801	9	6.0	92760
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Orange	ANAHEIM GENERAL HOSPITAL	3350 WEST BALL ROAD, ANAHEIM, 92804	1	9.0	54821
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Orange	CHAPMAN MEDICAL CENTER	2601 EAST CHAPMAN AVENUE, ORANGE, 92669	1	5.0	64063
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Orange	CHILDREN'S HOSPITAL OF ORANGE COUNTY	455 SO. MAIN STREET, ORANGE, 92668	7	1.0	44836
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Orange	COASTAL COMMUNITIES HOSPITAL	2701 BRISTOL STREET, SANTA ANA, 92704	1	3.0	29341
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Orange	FOUNTAIN VALLEY RGNL HOSP AND MED CTR - EUCLID	17100 EUCLID STREET, FOUNTAIN VALLEY, 92708	2	6.5	68248
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Orange	GARDEN GROVE HOSPITAL AND MEDICAL CENTER	12601 GARDEN GROVE BLVD., GARDEN GROVE, 92643-1959	2	5.5	59552
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Orange	HOAG HOSPITAL IRVINE	16200 SAND CANYON AVENUE, IRVINE, 92718	15	3.0	70043
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Orange	HOAG MEMORIAL HOSPITAL PRESBYTERIAN	ONE HOAG DRIVE, NEWPORT BEACH, 92663	36	4.5	46652
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Orange	KAISER FND HOSP - ANAHEIM	441 LAKEVIEW AVENUE, ANAHEIM, 92807	17	3.0	0
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Orange	LOS ALAMITOS MEDICAL CENTER	3751 KATELLA AVENUE, LOS ALAMITOS, 90720	2	5.5	79307
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Orange	MISSION HOSPITAL REGIONAL MEDICAL CENTER	27700 MEDICAL CENTER ROAD, MISSION VIEJO, 92691	17	3.0	61290
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Orange	ORANGE COAST MEMORIAL MEDICAL CENTER	9920 TALBERT AVENUE, FOUNTAIN VALLEY, 92708	12	5.5	74080
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Orange	PLACENTIA LINDA HOSPITAL	1301 NORTH ROSE DRIVE, PLACENTIA, 92670	2	4.0	58688
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Orange	SADDLEBACK MEMORIAL MEDICAL CENTER	24451 HEALTH CENTER DRIVE, LAGUNA HILLS, 92653	23	3.0	46138
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Orange	SADDLEBACK MEMORIAL MEDICAL CENTER - SAN CLEMENTE	654 CAMINO DE LOS MARES, SAN CLEMENTE, 92673	2	3.5	45378
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Orange	ST. JOSEPH HOSPITAL - ORANGE	1100 WEST STEWART DRIVE, ORANGE, 92868	43	3.0	40769
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Orange	ST. JUDE MEDICAL CENTER	101 EAST VALENCIA MESA DRIVE, FULLERTON, 92835	22	3.5	38942
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Orange	UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER	101 CITY DRIVE SOUTH, ORANGE, 92668	52	3.0	91993
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Orange	WESTERN MEDICAL CENTER - SANTA ANA	1001 NORTH TUSTIN AVENUE, SANTA ANA, 92705	5	4.0	56796
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Placer	KAISER FND HOSP - SACRAMENTO/ROSEVILLE-EUREKA	1600 EUREKA ROAD, ROSEVILLE, 95661	25	4.0	0
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Placer	SUTTER AUBURN FAITH HOSPITAL	11815 EDUCATION STREET, AUBURN, 95602	3	6.0	88060
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Placer	SUTTER ROSEVILLE MEDICAL CENTER	ONE MEDICAL PLAZA, ROSEVILLE, 95661	17	3.0	44802
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Riverside	CORONA REGIONAL MEDICAL CENTER-MAIN	800 SOUTH MAIN STREET, CORONA, 92882	12	5.0	70082
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Riverside	DESERT REGIONAL MEDICAL CENTER	1150 NORTH INDIAN CANYON DRIVE, PALM SPRINGS, 92262	2	3.5	63276
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Riverside	EISENHOWER MEDICAL CENTER	39-000 BOB HOPE DRIVE, RANCHO MIRAGE, 92270	15	5.0	57060
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Riverside	HEMET VALLEY MEDICAL CENTER	1117 EAST DEVONSHIRE, HEMET, 92543	9	5.0	39252
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Riverside	KAISER FND HOSP - RIVERSIDE	10800 MAGNOLIA AVENUE, RIVERSIDE, 92505	25	3.0	0
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Riverside	MENIFEE VALLEY MEDICAL CENTER	28400 MCCALL BOULEVARD, SUN CITY, 92585	5	2.0	26380
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Riverside	PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER	3865 JACKSON STREET, RIVERSIDE, 92503	2	2.5	33008
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Riverside	RIVERSIDE COMMUNITY HOSPITAL	4445 MAGNOLIA AVENUE, RIVERSIDE, 92501	15	4.0	54272
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Riverside	RIVERSIDE COUNTY REGIONAL MEDICAL CENTER	26520 CACTUS AVENUE, MORENO VALLEY, 92555	9	6.0	86660
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Riverside	SAN GORGONIO MEMORIAL HOSPITAL	600 HIGHLAND SPRINGS AVENUE, BANNING, 92220	7	4.0	46600
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Riverside	SOUTHWEST HEALTHCARE SYSTEM-MURRIETA	25500 MEDICAL CENTER DRIVE, MURRIETA, 92562	3	4.0	37247
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Sacramento	KAISER FND HOSP - SACRAMENTO/ROSEVILLE-MORSE	2025 MORSE AVENUE, SACRAMENTO, 95825	35	4.0	0
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Sacramento	KAISER FND HOSP - SOUTH SACRAMENTO	6600 BRUCEVILLE ROAD, SACRAMENTO, 95823	35	4.0	0
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Sacramento	MERCY GENERAL HOSPITAL	4001 J STREET, SACRAMENTO, 95819	21	2.0	41101
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Sacramento	MERCY HOSPITAL - FOLSOM	1650 CREEKSIDE DRIVE, FOLSOM, 95630	7	3.0	33488
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Sacramento	MERCY SAN JUAN HOSPITAL	6501 COYLE AVENUE, CARMICHAEL, 95608	24	3.0	43804
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Sacramento	SUTTER GENERAL HOSPITAL	2801 L STREET, SACRAMENTO, 95816	25	4.0	76150
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Sacramento	SUTTER MEMORIAL HOSPITAL	5151 F STREET, SACRAMENTO, 95819	7	2.0	49474
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Sacramento	UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER	2315 STOCKTON BOULEVARD, SACRAMENTO, 95817	119	3.0	95377
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Bernardino	ARROWHEAD REGIONAL MEDICAL CENTER	400 N. PEPPER AVENUE, COLTON, 92324-1816	9	5.0	44489
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Bernardino	KAISER FND HOSP - FONTANA	9961 SIERRA AVENUE, FONTANA, 92335	45	3.0	0
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Bernardino	LOMA LINDA UNIVERSITY MEDICAL CENTER	11234 ANDERSON STREET, LOMA LINDA, 92354	50	3.5	83962
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Bernardino	REDLANDS COMMUNITY HOSPITAL	350 TERRACINA BOULEVARD, REDLANDS, 92373	12	5.0	32673
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Bernardino	SAN ANTONIO COMMUNITY HOSPITAL	999 SAN BERNARDINO ROAD, UPLAND, 91786	20	3.0	37750
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Bernardino	ST. BERNARDINE MEDICAL CENTER	2101 NORTH WATERMAN AVENUE, SAN BERNARDINO, 92404	15	5.0	60626
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Bernardino	ST. MARY REGIONAL MEDICAL CENTER	18300 HIGHWAY 18, APPLE VALLEY, 92307	5	4.0	28837
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Diego	ALVARADO HOSPITAL	6655 ALVARADO ROAD, SAN DIEGO, 92120-5298	1	34.0	128253
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Diego	FALLBROOK HOSPITAL DISTRICT	624 EAST ELDER STREET, FALLBROOK, 92028	5	2.0	46115
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Diego	GROSSMONT HOSPITAL	5555 GROSSMONT CENTER DRIVE, LA MESA, 91942	19	4.0	54665
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Diego	KAISER FND HOSP - SAN DIEGO	4647 ZION AVENUE, SAN DIEGO, 92120	55	4.0	0
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Diego	PALOMAR MEDICAL CENTER	555 E. VALLEY PARKWAY, ESCONDIDO, 92025	9	5.0	50918
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Diego	POMERADO HOSPITAL	15615 POMERADO ROAD, POWAY, 92064	11	4.0	37642
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Diego	RADY CHILDREN'S HOSPITAL - SAN DIEGO	3020 CHILDREN'S WAY, SAN DIEGO, 92123	8	2.0	31822
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Diego	SCRIPPS GREEN HOSPITAL	10666 NORTH TORREY PINES ROAD, LA JOLLA, 92037	36	3.0	49041
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Diego	SCRIPPS MEMORIAL HOSPITAL - ENCINITAS	354 SANTA FE DRIVE, ENCINITAS, 92024	6	5.0	54852
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Diego	SCRIPPS MEMORIAL HOSPITAL - LA JOLLA	9888 GENESEE AVENUE, LA JOLLA, 92037	11	5.0	60180
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Diego	SCRIPPS MERCY HOSPITAL	4077 FIFTH AVENUE, SAN DIEGO, 92103-2180	18	3.0	49046
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Diego	SCRIPPS MERCY HOSPITAL - CHULA VISTA	435 H STREET, CHULA VISTA, 91910	2	2.5	47378
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Diego	SHARP CHULA VISTA MEDICAL CENTER	751 MEDICAL CENTER COURT, CHULA VISTA, 91911	13	2.0	53542
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Diego	SHARP MEMORIAL HOSPITAL	7901 FROST STREET, SAN DIEGO, 92123	72	2.0	65224
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Diego	TRI-CITY MEDICAL CENTER	4002 VISTA WAY, OCEANSIDE, 92056	15	4.0	42067
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Diego	UNIVERSITY OF CALIF-SAN DIEGO MEDICAL CENTER	200 WEST ARBOR DRIVE, SAN DIEGO, 92103	58	3.0	31503
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Francisco	CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS	2333 BUCHANAN STREET, SAN FRANCISCO, 94115	92	3.0	64826
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Francisco	CHINESE HOSPITAL	845 JACKSON STREET, SAN FRANCISCO, 94133	3	4.0	35813
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Francisco	KAISER FND HOSP - SAN FRANCISCO	2425 GEARY BOULEVARD, SAN FRANCISCO, 94115	22	3.0	0
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Francisco	SAN FRANCISCO GENERAL HOSPITAL	1001 POTRERO AVENUE, SAN FRANCISCO, 94110	2	2.5	68174
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Francisco	ST. MARY'S MEDICAL CENTER, SAN FRANCISCO	450 STANYAN STREET, SAN FRANCISCO, 94117	2	11.0	160384
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Francisco	UCSF MEDICAL CENTER	505 PARNASSUS AVENUE, SAN FRANCISCO, 94122	255	3.0	48463
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Joaquin	DAMERON HOSPITAL	525 WEST ACACIA, STOCKTON, 95203	22	3.0	52442
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Joaquin	DOCTORS HOSPITAL OF MANTECA	1205 EAST NORTH STREET, MANTECA, 95336	3	3.0	118122
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Joaquin	KAISER FND HOSP-MANTECA	1777 WEST YOSEMITE AVENUE, MANTECA, 95336	1	6.0	0
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Joaquin	LODI MEMORIAL HOSPITAL	975 SOUTH FAIRMONT AVENUE, LODI, 95240-5179	6	3.0	69701
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Joaquin	SAN JOAQUIN GENERAL HOSPITAL	500 WEST HOSPITAL ROAD, FRENCH CAMP, 95231	1	17.0	122495
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Joaquin	ST. JOSEPH'S MEDICAL CENTER OF STOCKTON	1800 NORTH CALIFORNIA STREET, STOCKTON, 95204	11	4.0	55506
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Joaquin	SUTTER TRACY COMMUNITY HOSPITAL	1420 NORTH TRACY BOULEVARD, TRACY, 95376	4	5.0	69898
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Luis Obispo	FRENCH HOSPITAL MEDICAL CENTER	1911 JOHNSON AVENUE, SAN LUIS OBISPO, 93401	7	4.0	67272
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Luis Obispo	TWIN CITIES COMMUNITY HOSPITAL	1100 LAS TABLAS ROAD, TEMPLETON, 93465	2	8.0	132594
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Mateo	KAISER FND HOSP - REDWOOD CITY	1150 VETERANS BOULEVARD, REDWOOD CITY, 94063	8	5.0	0
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Mateo	KAISER FND HOSP - SOUTH SAN FRANCISCO	1200 EL CAMINO REAL, SOUTH SAN FRANCISCO, 94080	15	5.0	0
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Mateo	MILLS-PENINSULA MEDICAL CENTER	1501 TROUSDALE DRIVE, BURLINGAME, 94010	17	5.0	92367
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Mateo	SAN MATEO MEDICAL CENTER	222 WEST 39TH AVENUE, SAN MATEO, 94403	3	3.0	26629
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Mateo	SEQUOIA HOSPITAL	170 ALAMEDA DE LAS PULGAS, REDWOOD CITY, 94062	6	4.0	55822
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	San Mateo	SETON MEDICAL CENTER	1900 SULLIVAN AVENUE, DALY CITY, 94015	11	7.0	79184
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Santa Barbara	LOMPOC VALLEY MEDICAL CENTER	1515 E. OCEAN AVENUE, LOMPOC, 93436	1	9.0	50887
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Santa Barbara	MARIAN MEDICAL CENTER	1400 EAST CHURCH STREET, SANTA MARIA, 93454	14	4.0	56474
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Santa Barbara	SANTA BARBARA COTTAGE HOSPITAL	320 WEST PUEBLO STREET, SANTA BARBARA, 93105	20	4.0	49802
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Santa Clara	EL CAMINO HOSPITAL	2500 GRANT ROAD, MOUNTAIN VIEW, 94040	23	2.0	65325
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Santa Clara	EL CAMINO HOSPITAL LOS GATOS	815 POLLARD ROAD, LOS GATOS, 95032	1	5.0	79616
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Santa Clara	GOOD SAMARITAN HOSPITAL-SAN JOSE	2425 SAMARITAN DRIVE, SAN JOSE, 95124	12	3.0	87896
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Santa Clara	KAISER FND HOSP - SAN JOSE	250 HOSPITAL PARKWAY, SAN JOSE, 95119	29	4.0	0
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Santa Clara	KAISER FND HOSP - SANTA CLARA	700 LAWRENCE EXPRESSWAY, SANTA CLARA, 95051	10	4.0	0
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Santa Clara	KAISER FND HOSP - SANTA CLARA	900 KIELY BOULEVARD, SANTA CLARA, 95051-5386	24	5.0	0
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Santa Clara	LUCILE SALTER PACKARD CHILDREN'S HOSP. AT STANFORD	725 WELCH ROAD, PALO ALTO, 94304	6	3.5	69282
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Santa Clara	O'CONNOR HOSPITAL - SAN JOSE	2105 FOREST AVENUE, SAN JOSE, 95128	9	2.0	51053
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Santa Clara	REGIONAL MEDICAL OF SAN JOSE	225 NORTH JACKSON AVENUE, SAN JOSE, 95116	4	3.0	40333
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Santa Clara	SANTA CLARA VALLEY MEDICAL CENTER	751 SOUTH BASCOM AVENUE, SAN JOSE, 95128-2699	13	4.0	45970
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Santa Clara	ST. LOUISE REGIONAL HOSPITAL	9400 NO NAME UNO, GILROY, 95020	1	2.0	79158
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Santa Clara	STANFORD HOSPITAL	300 PASTEUR DRIVE, PALO ALTO, 94305	99	3.0	75995
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Santa Cruz	DOMINICAN HOSPITAL-SANTA CRUZ/SOQUEL	1555 SOQUEL DRIVE, SANTA CRUZ, 95065	11	4.0	69890
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Santa Cruz	SUTTER MATERNITY AND SURGERY CENTER OF SANTA CRUZ	2900 CHANTICLEER AVENUE, SANTA CRUZ, 95065	7	2.0	36580
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Santa Cruz	WATSONVILLE COMMUNITY HOSPITAL	75 NIELSON STREET, WATSONVILLE, 95076	4	4.0	113808
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Shasta	MERCY MEDICAL CENTER - REDDING	2175 ROSALINE AVENUE, REDDING, 96001	24	4.0	49565
2007	Urinary Procedures	Total Removal of Kidney and Ureter (unilateral)	Shasta	SHASTA REGIONAL MEDICAL CENTER	1100 BUTTE STREET, REDDING, 96049-6072	6	3.5	78182
